year,carcass_present,bird_or_mammal,species_code,species_sci_name,species_common_name,species_itis,species,age_class,sex,condition,cause_of_death,alive,n
1995,1,bird,PALO,Gavia pacifica,Pacific Loon,174475,PALO: Pacific Loon (Gavia pacifica; ITIS: 174475),NA,U,4,NA,0,1
1995,1,bird,PECO,Phalacrocorax pelagicus,Pelagic Cormorant,174725,PECO: Pelagic Cormorant (Phalacrocorax pelagicus; ITIS: 174725),NA,U,2,NA,0,1
1995,1,bird,PECO,Phalacrocorax pelagicus,Pelagic Cormorant,174725,PECO: Pelagic Cormorant (Phalacrocorax pelagicus; ITIS: 174725),NA,U,3,NA,0,1
1995,1,bird,PECO,Phalacrocorax pelagicus,Pelagic Cormorant,174725,PECO: Pelagic Cormorant (Phalacrocorax pelagicus; ITIS: 174725),NA,U,4,NA,0,2
1995,1,bird,PIGU,Cepphus columba,Pigeon Guillemot,176991,PIGU: Pigeon Guillemot (Cepphus columba; ITIS: 176991),NA,U,3,NA,0,6
1995,1,bird,PIGU,Cepphus columba,Pigeon Guillemot,176991,PIGU: Pigeon Guillemot (Cepphus columba; ITIS: 176991),NA,U,4,NA,0,2
1995,1,bird,POJA,Stercorarius pomarinus,Pomarine Jaeger,176792,POJA: Pomarine Jaeger (Stercorarius pomarinus; ITIS: 176792),NA,U,3,NA,0,1
1995,1,bird,RBME,Mergus serrator,Red-breasted Merganser,175187,RBME: Red-breasted Merganser (Mergus serrator; ITIS: 175187),NA,U,2,NA,0,1
1995,1,bird,REPH,Phalaropus fulicarius,Red Phalarope,176734,REPH: Red Phalarope (Phalaropus fulicarius; ITIS: 176734),NA,U,2,NA,0,1
1995,1,bird,RHAU,Cerorhinca monocerata,Rhinoceros Auklet,177023,RHAU: Rhinoceros Auklet (Cerorhinca monocerata; ITIS: 177023),NA,U,2,NA,0,1
1995,1,bird,RHAU,Cerorhinca monocerata,Rhinoceros Auklet,177023,RHAU: Rhinoceros Auklet (Cerorhinca monocerata; ITIS: 177023),NA,U,3,NA,0,1
