species_sci_name,species_common_name,species_itis,species_code,species_genus,species,bird_or_mammal,n
Phalaropus lobatus,Red-necked Phalarope,176735,RNPH,NA,RNPH: Red-necked Phalarope (Phalaropus lobatus; ITIS: 176735),bird,48
Chen rossii,Ross's Goose,175041,ROGO,NA,ROGO: Ross's Goose (Chen rossii; ITIS: 175041),bird,3
Columba livia,Rock Pigeon,177071,ROPI,NA,ROPI: Rock Pigeon (Columba livia; ITIS: 177071),bird,150
Sterna maxima,Royal Tern,176922,ROTE,NA,ROTE: Royal Tern (Sterna maxima; ITIS: 176922),bird,1
Buteo lineatus,Red-shouldered Hawk,175359,RSHA,NA,RSHA: Red-shouldered Hawk (Buteo lineatus; ITIS: 175359),bird,1
Buteo jamaicensis,Red-tailed Hawk,175350,RTHA,NA,RTHA: Red-tailed Hawk (Buteo jamaicensis; ITIS: 175350),bird,44
Gavia stellata,Red-throated Loon,174474,RTLO,NA,RTLO: Red-throated Loon (Gavia stellata; ITIS: 174474),bird,444
Oxyura jamaicensis,Ruddy Duck,175175,RUDU,NA,RUDU: Ruddy Duck (Oxyura jamaicensis; ITIS: 175175),bird,58
Agelaius phoeniceus,Red-winged Blackbird,179045,RWBL,NA,RWBL: Red-winged Blackbird (Agelaius phoeniceus; ITIS: 179045),bird,4
Larus Linnaeus,Sabine's Gull,176803,SAGU,NA,SAGU: Sabine's Gull (Larus Linnaeus; ITIS: 176803),bird,1
Xema sabini,Sabine's Gull,176866,SAGU,NA,SAGU: Sabine's Gull (Xema sabini; ITIS: 176866),bird,9
Calidris alba,Sanderling,176669,SAND,NA,SAND: Sanderling (Calidris alba; ITIS: 176669),bird,22
Synthliboramphus scrippsi,Scripp's Murrelet,174371,SCMU,NA,SCMU: Scripp's Murrelet (Synthliboramphus scrippsi; ITIS: 174371),bird,1
Melanitta (sp),Scoter (unidentified),175162,SCOT,NA,SCOT: Scoter (unidentified) (Melanitta (sp); ITIS: 175162),bird,20
Melanitta,Unidentified Scoter,175162,SCOT,NA,SCOT: Unidentified Scoter (Melanitta; ITIS: 175162),bird,276
"Aves (gen, sp)",Marine Bird (unidentified),174371,SEAB,NA,"SEAB: Marine Bird (unidentified) (Aves (gen, sp); ITIS: 174371)",bird,207
Asio flammeus,Short-eared Owl,177935,SEOW,NA,SEOW: Short-eared Owl (Asio flammeus; ITIS: 177935),bird,2
Charadrius semipalmatus,Semipalmated Plover,176506,SEPL,NA,SEPL: Semipalmated Plover (Charadrius semipalmatus; ITIS: 176506),bird,1
Synthliboramphus scrippsi/hypoleucus,Scripps/Guadalupe Murrelet,174371,SGMU,NA,SGMU: Scripps/Guadalupe Murrelet (Synthliboramphus scrippsi/hypoleucus; ITIS: 174371),bird,3
"Puffinus (gen,sp.)",Unidentified Shearwater,174543,SHEA,NA,"SHEA: Unidentified Shearwater (Puffinus (gen,sp.); ITIS: 174543)",bird,2
Charadriiformes (gen sp),Large Shorebird (unidentified),174371,SHOR,NA,SHOR: Large Shorebird (unidentified) (Charadriiformes (gen sp); ITIS: 174371),bird,23
NA,Unidentified Shorebird,174371,SHOR,NA,SHOR: Unidentified Shorebird (NA; ITIS: 174371),bird,244
Puffinus tenuirostris,Short-tailed Shearwater,174554,SHOS,NA,SHOS: Short-tailed Shearwater (Puffinus tenuirostris; ITIS: 174554),bird,71
Puffinus,Unidentified Shearwater,174543,SHSP,NA,SHSP: Unidentified Shearwater (Puffinus; ITIS: 174543),bird,167
Egretta thula,Snowy Egret,174813,SNEG,NA,SNEG: Snowy Egret (Egretta thula; ITIS: 174813),bird,8
Chen caerulescens,Snow Goose,175038,SNGO,NA,SNGO: Snow Goose (Chen caerulescens; ITIS: 175038),bird,1
Charadrius nivosus,Snowy Plover,824030,SNPL,NA,SNPL: Snowy Plover (Charadrius nivosus; ITIS: 824030),bird,1
Puffinus griseus,Sooty Shearwater,174553,SOSH,NA,SOSH: Sooty Shearwater (Puffinus griseus; ITIS: 174553),bird,5667
Melospiza melodia,Song Sparrow,179492,SOSP,NA,SOSP: Song Sparrow (Melospiza melodia; ITIS: 179492),bird,1
Stercorarius maccormicki,South Polar Skua,660062,SPSK,NA,SPSK: South Polar Skua (Stercorarius maccormicki; ITIS: 660062),bird,1
Oceanodroma,Unidentified Storm-petrel,174624,SPSP,NA,SPSP: Unidentified Storm-petrel (Oceanodroma; ITIS: 174624),bird,15
Puffinus tenuirostris,Short-tailed Shearwater,174554,SRTS,NA,SRTS: Short-tailed Shearwater (Puffinus tenuirostris; ITIS: 174554),bird,96
Accipiter striatus,Sharp-shinned Hawk,175304,SSHA,NA,SSHA: Sharp-shinned Hawk (Accipiter striatus; ITIS: 175304),bird,1
Puffinus griseus/tentuiro.,Sooty/Short-tailed Shearwater,174371,SSTS,NA,SSTS: Sooty/Short-tailed Shearwater (Puffinus griseus/tentuiro.; ITIS: 174371),bird,27
Aphriza virgata,Surfbird,176673,SURF,NA,SURF: Surfbird (Aphriza virgata; ITIS: 176673),bird,2
Melanitta perspicillata,Surf Scoter,175170,SUSC,NA,SUSC: Surf Scoter (Melanitta perspicillata; ITIS: 175170),bird,2420
Uria lomvia,Thick-billed Murre,176978,TBMU,NA,TBMU: Thick-billed Murre (Uria lomvia; ITIS: 176978),bird,3
Sterna (sp),Tern (unidentified),174371,TERN,NA,TERN: Tern (unidentified) (Sterna (sp); ITIS: 174371),bird,1
Sterna,Unidentified Tern,176885,TERN,NA,TERN: Unidentified Tern (Sterna; ITIS: 176885),bird,33
